winner,pokemon1_p1,pokemon2_p1,pokemon3_p1,pokemon4_p1,pokemon5_p1,pokemon6_p1,pokemon1_p2,pokemon2_p2,pokemon3_p2,pokemon4_p2,pokemon5_p2,pokemon6_p2
2,Gothitelle,Sinistcha,Scream Tail,Flutter Mane,Kommo,Arcanine,Flutter Mane,Tornadus,Rillaboom,Garganacl,Arcanine,Chien
2,Flutter Mane,Arcanine,Rillaboom,Milotic,Iron Hands,Cresselia,Heatran,Iron Hands,Sinistcha,Goodra,Urshifu,Tornadus
2,Hariyama,Clodsire,Tropius,Toxapex,Drifblim,Barraskewda,Iron Thorns,Sinistcha,Empoleon,Arcanine,Roaring Moon,Fezandipiti
1,Chien,Rillaboom,Arcanine,Urshifu,Tornadus,Flutter Mane,Gholdengo,Urshifu,Tornadus,Iron Hands,Amoonguss,Arcanine
1,Salamence,Iron Hands,Amoonguss,Gholdengo,Iron Bundle,Pelipper,Moltres,Sinistcha,Ninetales,Landorus,Iron Hands,Heatran
1,Ninetales,Iron Bundle,Urshifu,Ogerpon,Ursaluna,Cresselia,Ninetales,Iron Bundle,Sableye,Chi,Iron Hands,Landorus
1,Dondozo,Tatsugiri,Golduck,Pelipper,Sinistcha,Thundurus,Murkrow,Flutter Mane,Chi,Ogerpon,Kingambit,Landorus
1,Chien,Dragonite,Tatsugiri,Dondozo,Flutter Mane,Chi,Iron Hands,Sylveon,Cresselia,Chi,Gyarados,Amoonguss
1,Dondozo,Tatsugiri,Heatran,Kingambit,Landorus,Maushold,Roaring Moon,Iron Bundle,Landorus,Flutter Mane,Iron Hands,Ogerpon
1,Ogerpon,Tyranitar,Clefairy,Lycanroc,Cresselia,Brute Bonnet,Snorlax,Sinistcha,Landorus,Iron Hands,Clefairy,Kommo
1,Ogerpon,Gholdengo,Iron Hands,Dragonite,Chien,Kingambit,Iron Hands,Cresselia,Torkoal,Flutter Mane,Charizard,Urshifu
1,Milotic,Ogerpon,Roaring Moon,Landorus,Iron Hands,Flutter Mane,Tornadus,Ogerpon,Iron Hands,Gholdengo,Ninetales,Landorus
1,Armarouge,Torkoal,Ursaluna,Indeedee,Vikavolt,Hatterene,Garchomp,Tornadus,Gyarados,Flutter Mane,Iron Hands,Gholdengo
2,Ursaluna,Iron Hands,Cresselia,Flutter Mane,Ogerpon,Torkoal,Ogerpon,Tyranitar,Armarouge,Indeedee,Landorus,Sinistcha
2,Grimmsnarl,Moltres,Gholdengo,Arcanine,Gastrodon,Spectrier,Roaring Moon,Gholdengo,Ogerpon,Ursaluna,Tornadus,Gyarados
2,Chi,Flutter Mane,Tornadus,Ogerpon,Iron Hands,Landorus,Landorus,Heatran,Ogerpon,Iron Hands,Flutter Mane,Cresselia
1,Ogerpon,Volcarona,Flutter Mane,Landorus,Tyranitar,Empoleon,Milotic,Volcarona,Arcanine,Shiftry,Chien,Dipplin
2,Tornadus,Flutter Mane,Landorus,Rillaboom,Ogerpon,Farigiraf,Farigiraf,Tornadus,Ursaluna,Urshifu,Gholdengo,Rillaboom
2,Rillaboom,Iron Hands,Ting,Milotic,Baxcalibur,Arcanine,Landorus,Rillaboom,Roaring Moon,Okidogi,Flutter Mane,Ogerpon
2,Chien,Ogerpon,Sinistcha,Ursaluna,Conkeldurr,Heatran,Landorus,Iron Hands,Sinistcha,Chien,Heatran,Milotic
1,Iron Hands,Dusclops,Ogerpon,Ursaluna,Kingambit,Azumarill,Landorus,Flutter Mane,Chien,Ogerpon,Iron Hands,Ninetales
1,Politoed,Arcanine,Tornadus,Chien,Urshifu,Rillaboom,Maushold,Annihilape,Armarouge,Indeedee,Ogerpon,Sylveon
2,Ninetales,Arcanine,Flutter Mane,Iron Bundle,Tornadus,Landorus,Urshifu,Flutter Mane,Arcanine,Chien,Rillaboom,Ogerpon
2,Urshifu,Tornadus,Basculegion,Flutter Mane,Politoed,Chi,Lycanroc,Rillaboom,Tornadus,Urshifu,Farigiraf,Ursaluna
2,Ogerpon,Landorus,Iron Hands,Flutter Mane,Farigiraf,Chien,Ogerpon,Flutter Mane,Chi,Landorus,Iron Hands,Amoonguss
1,Tornadus,Arcanine,Iron Hands,Gholdengo,Urshifu,Ogerpon,Ceruledge,Iron Hands,Sinistcha,Gothitelle,Grimmsnarl,Maushold
2,Kommo,Tyranitar,Rillaboom,Flutter Mane,Arcanine,Iron Bundle,Annihilape,Maushold,Gyarados,Ogerpon,Grimmsnarl,Garchomp
2,Grimmsnarl,Heatran,Amoonguss,Landorus,Rillaboom,Kommo,Tornadus,Urshifu,Rillaboom,Flutter Mane,Chi,Landorus
2,Furret,Ogerpon,Urshifu,Espathra,Wigglytuff,Sableye,Iron Hands,Landorus,Sinistcha,Flutter Mane,Milotic,Chi
1,Tornadus,Brambleghast,Arcanine,Kingambit,Flutter Mane,Farigiraf,Empoleon,Rotom,Ursaluna,Wyrdeer,Sneasler,Pachirisu
1,Oranguru,Iron Hands,Rillaboom,Ursaluna,Sinistcha,Arcanine,Iron Hands,Chi,Urshifu,Amoonguss,Flutter Mane,Kommo
2,Baxcalibur,Farigiraf,Ogerpon,Iron Hands,Kingambit,Chien,Ogerpon,Arcanine,Zapdos,Gholdengo,Urshifu,Rillaboom
1,Heatran,Iron Bundle,Indeedee,Flutter Mane,Landorus,Urshifu,Heatran,Grafaiai,Ninetales,Urshifu,Arcanine,Roaring Moon
1,Iron Hands,Flutter Mane,Iron Bundle,Arcanine,Kingambit,Ogerpon,Ninetales,Baxcalibur,Heatran,Ogerpon,Landorus,Iron Hands
2,Ogerpon,Urshifu,Tornadus,Arcanine,Flutter Mane,Gholdengo,Ogerpon,Baxcalibur,Scizor,Ting,Cramorant,Rotom
2,Rillaboom,Pelipper,Basculegion,Ludicolo,Kilowattrel,Iron Hands,Iron Hands,Grimmsnarl,Sinistcha,Landorus,Heatran,Iron Bundle
1,Empoleon,Ninetales,Arcanine,Cetitan,Furret,Sneasler,Iron Bundle,Ogerpon,Heatran,Rillaboom,Landorus,Iron Hands
2,Maushold,Sableye,Urshifu,Annihilape,Armarouge,Sinistcha,Grimmsnarl,Annihilape,Cresselia,Ursaluna,Ogerpon,Arcanine
1,Fezandipiti,Garganacl,Ogerpon,Ceruledge,Kingambit,Landorus,Ogerpon,Arcanine,Gholdengo,Tornadus,Iron Hands,Urshifu
2,Illumise,Chi,Flutter Mane,Landorus,Iron Hands,Ogerpon,Arcanine,Slither Wing,Grimmsnarl,Basculegion,Annihilape,Politoed
1,Chien,Tornadus,Ogerpon,Milotic,Iron Valiant,Iron Hands,Maushold,Oranguru,Ursaluna,Torkoal,Dusclops,Enamorus
1,Landorus,Chien,Heatran,Flutter Mane,Tornadus,Iron Hands,Weezing,Iron Bundle,Ogerpon,Iron Hands,Urshifu,Landorus
1,Ninetales,Iron Bundle,Urshifu,Ogerpon,Ursaluna,Cresselia,Ogerpon,Tornadus,Flutter Mane,Iron Hands,Ursaluna,Urshifu
1,Baxcalibur,Tornadus,Iron Hands,Heatran,Weezing,Flutter Mane,Lilligant,Torkoal,Armarouge,Indeedee,Hatterene,Ursaluna
2,Roaring Moon,Iron Bundle,Landorus,Flutter Mane,Iron Hands,Ogerpon,Ogerpon,Empoleon,Iron Hands,Kommo,Shiftry,Sinistcha
1,Ninetales,Ogerpon,Flutter Mane,Iron Hands,Roaring Moon,Empoleon,Iron Hands,Ogerpon,Landorus,Heatran,Flutter Mane,Cresselia
1,Garganacl,Rillaboom,Milotic,Urshifu,Arcanine,Clefairy,Florges,Ogerpon,Rillaboom,Iron Hands,Farigiraf,Flutter Mane
2,Roaring Moon,Gholdengo,Urshifu,Rillaboom,Arcanine,Landorus,Dragapult,Flutter Mane,Iron Hands,Heatran,Landorus,Chien
1,Salamence,Iron Hands,Amoonguss,Gholdengo,Iron Bundle,Pelipper,Flutter Mane,Tornadus,Heatran,Chien,Rillaboom,Dragonite
2,Arcanine,Tornadus,Urshifu,Flutter Mane,Roaring Moon,Amoonguss,Grimmsnarl,Urshifu,Kingambit,Roaring Moon,Chi,Tyranitar
2,Chi,Tornadus,Flutter Mane,Rillaboom,Iron Bundle,Urshifu,Flutter Mane,Tornadus,Heatran,Chien,Rillaboom,Dragonite
2,Volcarona,Rabsca,Scizor,Frosmoth,Vivillon,Kleavor,Gholdengo,Urshifu,Dusclops,Ursaluna,Iron Bundle,Iron Hands
1,Flutter Mane,Tornadus,Heatran,Chien,Rillaboom,Dragonite,Chien,Dragonite,Tornadus,Flutter Mane,Landorus,Farigiraf
2,Dondozo,Flamigo,Tatsugiri,Drifblim,Annihilape,Flutter Mane,Urshifu,Regidrago,Tornadus,Rillaboom,Arcanine,Gholdengo
1,Espeon,Gallade,Talonflame,Trevenant,Magnezone,Kingambit,Iron Moth,Oranguru,Garchomp,Tornadus,Pelipper,Sinistcha
2,Shiftry,Kilowattrel,Annihilape,Arcanine,Jumpluff,Ogerpon,Dudunsparce,Zoroark,Flutter Mane,Ogerpon,Urshifu,Goodra
2,Iron Bundle,Clefairy,Breloom,Farigiraf,Iron Hands,Basculegion,Urshifu,Farigiraf,Clefairy,Ogerpon,Ursaluna,Okidogi
2,Sinistcha,Iron Hands,Kingambit,Flutter Mane,Landorus,Chien,Oranguru,Arcanine,Sinistcha,Iron Hands,Ursaluna,Ting
1,Gholdengo,Garchomp,Roaring Moon,Iron Hands,Arcanine,Weezing,Oranguru,Bruxish,Ursaluna,Landorus,Chesnaught,Mimikyu
1,Flutter Mane,Regieleki,Yanma,Chi,Indeedee,Lumineon,Sandy Shocks,Mimikyu,Basculegion,Grimmsnarl,Volbeat,Alomomola
1,Ursaluna,Iron Hands,Maushold,Sinistcha,Ogerpon,Armarouge,Snorlax,Sinistcha,Landorus,Iron Hands,Clefairy,Kommo
2,Mienshao,Charizard,Torkoal,Leafeon,Annihilape,Hydreigon,Chien,Tornadus,Flutter Mane,Ogerpon,Urshifu,Milotic
2,Flutter Mane,Regieleki,Yanma,Chi,Indeedee,Lumineon,Sandy Shocks,Mimikyu,Basculegion,Grimmsnarl,Volbeat,Alomomola
2,Ursaluna,Baxcalibur,Sinistcha,Gliscor,Ninetales,Cresselia,Wo,Arcanine,Garganacl,Grimmsnarl,Ting,Amoonguss
1,Flutter Mane,Regieleki,Yanma,Chi,Indeedee,Lumineon,Sandy Shocks,Mimikyu,Basculegion,Grimmsnarl,Volbeat,Alomomola
1,Talonflame,Roaring Moon,Gholdengo,Urshifu,Kleavor,Scream Tail,Tornadus,Baxcalibur,Ogerpon,Arcanine,Flutter Mane,Ting
1,Farigiraf,Flutter Mane,Ogerpon,Chi,Iron Hands,Sinistcha,Landorus,Kingambit,Tornadus,Ogerpon,Roaring Moon,Heatran
1,Dudunsparce,Zoroark,Flutter Mane,Iron Hands,Landorus,Ogerpon,Roaring Moon,Iron Hands,Chien,Amoonguss,Flutter Mane,Dragonite
2,Ursaluna,Clefairy,Urshifu,Farigiraf,Ogerpon,Okidogi,Politoed,Ogerpon,Ludicolo,Tornadus,Amoonguss,Flutter Mane
1,Ogerpon,Urshifu,Tornadus,Landorus,Flutter Mane,Kingambit,Enamorus,Ceruledge,Sinistcha,Arcanine,Grimmsnarl,Ogerpon
1,Kommo,Clefairy,Arcanine,Rillaboom,Flutter Mane,Urshifu,Kommo,Cresselia,Tyranitar,Flutter Mane,Rillaboom,Arcanine
2,Ogerpon,Flutter Mane,Iron Hands,Gholdengo,Urshifu,Sinistcha,Farigiraf,Ursaluna,Iron Hands,Ogerpon,Arcanine,Tornadus
2,Ogerpon,Flutter Mane,Iron Hands,Gholdengo,Urshifu,Sinistcha,Farigiraf,Ursaluna,Iron Hands,Ogerpon,Arcanine,Tornadus
2,Flutter Mane,Ogerpon,Iron Hands,Clefairy,Kingambit,Landorus,Mienshao,Sylveon,Gholdengo,Salamence,Chi,Ogerpon
1,Indeedee,Tauros,Flutter Mane,Roaring Moon,Armarouge,Ogerpon,Ursaluna,Heatran,Iron Hands,Cresselia,Dusclops,Flutter Mane
1,Indeedee,Tauros,Flutter Mane,Roaring Moon,Armarouge,Ogerpon,Snorlax,Landorus,Iron Hands,Sinistcha,Annihilape,Ninetales
2,Iron Hands,Landorus,Chi,Tornadus,Ogerpon,Flutter Mane,Armarouge,Indeedee,Urshifu,Iron Hands,Dragonite,Chien
1,Slowking,Sinistcha,Landorus,Grimmsnarl,Rillaboom,Heatran,Dragonite,Chien,Empoleon,Landorus,Iron Hands,Ogerpon
1,Indeedee,Armarouge,Ursaluna,Flutter Mane,Tornadus,Ogerpon,Rillaboom,Gholdengo,Cresselia,Chien,Ogerpon,Roaring Moon
1,Urshifu,Ogerpon,Iron Hands,Flutter Mane,Tornadus,Sinistcha,Ogerpon,Gholdengo,Pachirisu,Iron Hands,Landorus,Politoed
1,Gholdengo,Iron Hands,Amoonguss,Iron Bundle,Pelipper,Salamence,Tornadus,Glimmora,Flutter Mane,Chien,Ogerpon,Urshifu
2,Arcanine,Urshifu,Amoonguss,Tornadus,Flutter Mane,Chien,Gholdengo,Iron Hands,Amoonguss,Iron Bundle,Pelipper,Salamence
2,Gholdengo,Iron Hands,Amoonguss,Iron Bundle,Pelipper,Salamence,Infernape,Ogerpon,Urshifu,Landorus,Ursaluna,Rillaboom
1,Roaring Moon,Landorus,Flutter Mane,Amoonguss,Iron Hands,Ogerpon,Sinistcha,Gothitelle,Flutter Mane,Ursaluna,Iron Hands,Arcanine
1,Heatran,Cresselia,Ursaluna,Enamorus,Farigiraf,Iron Hands,Ogerpon,Chien,Landorus,Flutter Mane,Tornadus,Rillaboom
2,Kommo,Ogerpon,Rillaboom,Landorus,Chien,Farigiraf,Chien,Rillaboom,Kommo,Flutter Mane,Landorus,Iron Hands
2,Ninetales,Landorus,Baxcalibur,Ogerpon,Rillaboom,Heatran,Ogerpon,Urshifu,Farigiraf,Flutter Mane,Heatran,Iron Hands
1,Indeedee,Sinistcha,Armarouge,Ursaluna,Ogerpon,Sneasler,Politoed,Urshifu,Chien,Ogerpon,Zapdos,Okidogi
2,Baxcalibur,Clefairy,Scizor,Ogerpon,Tornadus,Urshifu,Tornadus,Flutter Mane,Landorus,Ogerpon,Urshifu,Farigiraf
2,Ogerpon,Volcarona,Flutter Mane,Landorus,Tyranitar,Empoleon,Ogerpon,Rillaboom,Chien,Urshifu,Flutter Mane,Tornadus
2,Goodra,Grimmsnarl,Landorus,Rillaboom,Urshifu,Heatran,Torkoal,Lilligant,Indeedee,Regidrago,Sinistcha,Okidogi
2,Flutter Mane,Chi,Dondozo,Tatsugiri,Urshifu,Tornadus,Iron Hands,Weezing,Flutter Mane,Ogerpon,Sinistcha,Chi
2,Ogerpon,Heatran,Iron Bundle,Iron Hands,Landorus,Cresselia,Ogerpon,Tornadus,Flutter Mane,Rillaboom,Arcanine,Iron Hands
2,Tornadus,Ursaluna,Farigiraf,Ogerpon,Urshifu,Politoed,Tornadus,Indeedee,Chi,Urshifu,Okidogi,Brambleghast
1,Heatran,Tornadus,Farigiraf,Flutter Mane,Iron Hands,Ogerpon,Brambleghast,Urshifu,Tornadus,Flutter Mane,Chi,Gholdengo
2,Farigiraf,Landorus,Urshifu,Heatran,Iron Bundle,Rillaboom,Mamoswine,Roaring Moon,Ogerpon,Heatran,Flutter Mane,Rillaboom
2,Chien,Dragonite,Amoonguss,Iron Hands,Urshifu,Heatran,Clefairy,Roaring Moon,Flutter Mane,Heatran,Ogerpon,Urshifu
2,Gyarados,Iron Hands,Gholdengo,Regidrago,Tornadus,Rillaboom,Tornadus,Chi,Flutter Mane,Weezing,Rillaboom,Urshifu
2,Chien,Ogerpon,Arcanine,Urshifu,Roaring Moon,Gholdengo,Ogerpon,Flutter Mane,Urshifu,Rillaboom,Roaring Moon,Weezing
1,Indeedee,Armarouge,Annihilape,Greninja,Sneasler,Tornadus,Arcanine,Chien,Rillaboom,Milotic,Landorus,Amoonguss
1,Ogerpon,Politoed,Flutter Mane,Tornadus,Chi,Iron Hands,Sinistcha,Landorus,Chien,Annihilape,Flutter Mane,Iron Hands
1,Tornadus,Urshifu,Chi,Flutter Mane,Weezing,Rillaboom,Ursaluna,Ogerpon,Enamorus,Farigiraf,Iron Hands,Flutter Mane
2,Baxcalibur,Sinistcha,Ninetales,Iron Hands,Ogerpon,Arcanine,Armarouge,Indeedee,Torkoal,Iron Hands,Lilligant,Flutter Mane
1,Dondozo,Tatsugiri,Flutter Mane,Ogerpon,Rillaboom,Glimmora,Landorus,Ogerpon,Moltres,Sinistcha,Empoleon,Iron Hands
2,Ogerpon,Tornadus,Flutter Mane,Rillaboom,Iron Bundle,Chi,Iron Hands,Flutter Mane,Landorus,Urshifu,Kingambit,Ogerpon
1,Ninetales,Baxcalibur,Heatran,Iron Hands,Ogerpon,Farigiraf,Cresselia,Torkoal,Glastrier,Sinistcha,Lilligant,Enamorus
2,Heatran,Urshifu,Ursaluna,Ogerpon,Dusclops,Landorus,Ninetales,Baxcalibur,Ogerpon,Ursaluna,Annihilape,Rillaboom
1,Sinistcha,Iron Hands,Landorus,Chien,Ursaluna,Cresselia,Cresselia,Lilligant,Torkoal,Gyarados,Ursaluna,Kingambit
2,Mimikyu,Pelipper,Rillaboom,Gholdengo,Urshifu,Regidrago,Roaring Moon,Empoleon,Landorus,Flutter Mane,Iron Hands,Ogerpon
1,Armarouge,Indeedee,Sneasler,Landorus,Torkoal,Gallade,Medicham,Ursaluna,Armarouge,Iron Valiant,Iron Hands,Indeedee
2,Ogerpon,Landorus,Iron Hands,Iron Bundle,Sinistcha,Gyarados,Ninetales,Okidogi,Landorus,Ogerpon,Heatran,Rillaboom
2,Mimikyu,Ursaluna,Torkoal,Kingambit,Iron Hands,Ting,Ninetales,Glaceon,Iron Hands,Landorus,Armarouge,Indeedee
1,Ogerpon,Tornadus,Urshifu,Cresselia,Iron Hands,Ursaluna,Grimmsnarl,Okidogi,Landorus,Amoonguss,Chien,Urshifu
1,Annihilape,Amoonguss,Grimmsnarl,Landorus,Sinistcha,Arcanine,Flutter Mane,Iron Hands,Amoonguss,Landorus,Chien,Milotic
2,Iron Hands,Chi,Flutter Mane,Amoonguss,Gyarados,Roaring Moon,Chien,Urshifu,Flutter Mane,Rillaboom,Tornadus,Basculegion
1,Urshifu,Tornadus,Heatran,Mamoswine,Okidogi,Gyarados,Rillaboom,Flutter Mane,Heatran,Urshifu,Amoonguss,Landorus
1,Farigiraf,Iron Hands,Chien,Tornadus,Ogerpon,Urshifu,Chien,Dragonite,Landorus,Amoonguss,Heatran,Iron Bundle
1,Ogerpon,Tyranitar,Armarouge,Indeedee,Landorus,Sinistcha,Ogerpon,Rillaboom,Chien,Flutter Mane,Dragonite,Heatran
1,Sinistcha,Ursaluna,Ogerpon,Chi,Flutter Mane,Okidogi,Indeedee,Armarouge,Flutter Mane,Torkoal,Urshifu,Hatterene
1,Ogerpon,Iron Hands,Cresselia,Landorus,Flutter Mane,Gyarados,Iron Hands,Milotic,Rillaboom,Heatran,Chien,Landorus
1,Ogerpon,Rillaboom,Chien,Tornadus,Sableye,Iron Valiant,Ogerpon,Heatran,Iron Hands,Cresselia,Flutter Mane,Landorus
1,Arcanine,Roaring Moon,Lilligant,Torkoal,Indeedee,Armarouge,Maushold,Iron Hands,Gholdengo,Arcanine,Sinistcha,Farigiraf
2,Tornadus,Flutter Mane,Rillaboom,Ogerpon,Chien,Dragonite,Kingambit,Ogerpon,Gothitelle,Landorus,Iron Bundle,Flutter Mane
2,Scream Tail,Iron Hands,Gothitelle,Volcarona,Dondozo,Tatsugiri,Tyranitar,Garchomp,Ogerpon,Sinistcha,Baxcalibur,Gholdengo
1,Cresselia,Ursaluna,Iron Hands,Urshifu,Ogerpon,Flutter Mane,Urshifu,Tornadus,Chien,Farigiraf,Ogerpon,Arcanine
2,Flutter Mane,Ogerpon,Iron Hands,Landorus,Chi,Chien,Ogerpon,Tornadus,Urshifu,Flutter Mane,Rillaboom,Landorus
2,Rotom,Arcanine,Flutter Mane,Tornadus,Landorus,Urshifu,Tornadus,Flutter Mane,Landorus,Urshifu,Ogerpon,Regieleki
1,Ursaluna,Chien,Armarouge,Sneasler,Indeedee,Ogerpon,Cresselia,Ursaluna,Iron Hands,Flutter Mane,Dragonite,Chien
1,Torkoal,Ogerpon,Empoleon,Flutter Mane,Okidogi,Landorus,Dragapult,Clefairy,Empoleon,Chien,Sinistcha,Arcanine
2,Ogerpon,Landorus,Kingambit,Tornadus,Flutter Mane,Iron Hands,Basculegion,Gengar,Ceruledge,Annihilape,Sableye,Sinistcha
1,Amoonguss,Dragonite,Pelipper,Baxcalibur,Palafin,Meowscarada,Murkrow,Tauros,Gholdengo,Garchomp,Gardevoir,Meowscarada
1,Gholdengo,Iron Hands,Amoonguss,Iron Bundle,Pelipper,Salamence,Oranguru,Maushold,Torkoal,Ursaluna,Farigiraf,Urshifu
1,Bruxish,Oranguru,Ursaluna,Mimikyu,Landorus,Chesnaught,Bellibolt,Ursaluna,Ambipom,Farigiraf,Chien,Scizor
1,Kommo,Cresselia,Tyranitar,Flutter Mane,Rillaboom,Arcanine,Chien,Arcanine,Urshifu,Tornadus,Rillaboom,Flutter Mane
1,Ogerpon,Gholdengo,Arcanine,Flutter Mane,Tornadus,Palafin,Ninetales,Sinistcha,Gholdengo,Articuno,Farigiraf,Regieleki
1,Cresselia,Flutter Mane,Iron Hands,Ursaluna,Sinistcha,Heatran,Amoonguss,Iron Bundle,Iron Hands,Tornadus,Chi,Flutter Mane
1,Slowking,Sinistcha,Landorus,Grimmsnarl,Rillaboom,Heatran,Cresselia,Ursaluna,Iron Hands,Ogerpon,Arcanine,Flutter Mane
1,Gholdengo,Iron Hands,Amoonguss,Iron Bundle,Pelipper,Salamence,Conkeldurr,Dragonite,Regieleki,Chien,Landorus,Flutter Mane
2,Gholdengo,Dipplin,Arcanine,Urshifu,Zapdos,Iron Hands,Tornadus,Chien,Landorus,Ogerpon,Urshifu,Dragonite
1,Baxcalibur,Ninetales,Tornadus,Ogerpon,Arcanine,Iron Hands,Politoed,Basculegion,Indeedee,Wo,Urshifu,Tornadus
1,Amoonguss,Dragonite,Pelipper,Baxcalibur,Palafin,Meowscarada,Murkrow,Tauros,Gholdengo,Garchomp,Gardevoir,Meowscarada
1,Ursaluna,Chien,Dusclops,Grimmsnarl,Heatran,Urshifu,Flutter Mane,Iron Hands,Landorus,Heatran,Amoonguss,Chien
2,Cresselia,Torkoal,Amoonguss,Iron Hands,Tyranitar,Dudunsparce,Iron Valiant,Kingambit,Ceruledge,Decidueye,Espeon,Thundurus
1,Ariados,Farigiraf,Dudunsparce,Clefairy,Gastrodon,Bronzong,Tornadus,Flutter Mane,Landorus,Rillaboom,Ogerpon,Farigiraf
1,Salamence,Roaring Moon,Heatran,Flutter Mane,Sinistcha,Urshifu,Cresselia,Ogerpon,Urshifu,Landorus,Flutter Mane,Iron Hands
2,Roaring Moon,Gholdengo,Arcanine,Urshifu,Amoonguss,Milotic,Ogerpon,Urshifu,Tornadus,Landorus,Flutter Mane,Kingambit
2,Chien,Arcanine,Rillaboom,Tornadus,Urshifu,Gholdengo,Iron Hands,Iron Bundle,Landorus,Amoonguss,Flutter Mane,Chi
2,Tatsugiri,Heatran,Dondozo,Volcarona,Cresselia,Glimmora,Gholdengo,Iron Hands,Amoonguss,Iron Bundle,Pelipper,Salamence
2,Kommo,Sinistcha,Ogerpon,Thundurus,Goodra,Iron Hands,Ursaluna,Sinistcha,Sneasler,Chi,Farigiraf,Tornadus
2,Kommo,Sinistcha,Ogerpon,Thundurus,Goodra,Iron Hands,Ursaluna,Sinistcha,Sneasler,Chi,Farigiraf,Tornadus
2,Talonflame,Gholdengo,Cinderace,Dragapult,Froslass,Flutter Mane,Sinistcha,Chi,Pelipper,Floatzel,Jolteon,Iron Hands
2,Dragonite,Ursaluna,Iron Hands,Ogerpon,Farigiraf,Dusclops,Dragonite,Flamigo,Flutter Mane,Tauros,Cryogonal,Salazzle
2,Ursaluna,Dragalge,Sinistcha,Landorus,Ogerpon,Tyranitar,Rillaboom,Chien,Heatran,Flutter Mane,Urshifu,Tornadus
2,Amoonguss,Dragonite,Pelipper,Baxcalibur,Palafin,Meowscarada,Murkrow,Tauros,Gholdengo,Garchomp,Gardevoir,Meowscarada
1,Sinistcha,Chi,Pelipper,Floatzel,Jolteon,Iron Hands,Urshifu,Pelipper,Tornadus,Gholdengo,Farigiraf,Arcanine
2,Ogerpon,Clefairy,Roaring Moon,Tyranitar,Urshifu,Gholdengo,Garganacl,Rillaboom,Milotic,Urshifu,Arcanine,Clefairy
1,Thundurus,Enamorus,Iron Hands,Iron Bundle,Arcanine,Sinistcha,Torkoal,Charizard,Armarouge,Indeedee,Staraptor,Ursaluna
2,Torkoal,Rillaboom,Ogerpon,Flutter Mane,Zapdos,Farigiraf,Amoonguss,Iron Bundle,Iron Hands,Tornadus,Chi,Flutter Mane
2,Annihilape,Kommo,Sinistcha,Flutter Mane,Clefairy,Landorus,Flutter Mane,Tornadus,Rillaboom,Garganacl,Arcanine,Chien
1,Amoonguss,Dragonite,Pelipper,Baxcalibur,Palafin,Meowscarada,Ceruledge,Torkoal,Hydreigon,Maushold,Murkrow,Tauros
2,Ogerpon,Ambipom,Milotic,Farigiraf,Chi,Goodra,Infernape,Rillaboom,Munkidori,Annihilape,Oranguru,Scizor
2,Tornadus,Flutter Mane,Rillaboom,Ogerpon,Chien,Dragonite,Flutter Mane,Tornadus,Rillaboom,Garganacl,Arcanine,Chien
2,Snorlax,Sinistcha,Clefairy,Kommo,Iron Hands,Landorus,Baxcalibur,Weezing,Slaking,Dondozo,Tatsugiri,Palossand
1,Torterra,Armarouge,Indeedee,Ogerpon,Flutter Mane,Kommo,Ogerpon,Heatran,Rillaboom,Landorus,Grimmsnarl,Iron Hands
1,Noctowl,Sandy Shocks,Espeon,Indeedee,Iron Hands,Decidueye,Fezandipiti,Tsareena,Ogerpon,Tornadus,Flutter Mane,Urshifu
2,Ceruledge,Torkoal,Hydreigon,Maushold,Murkrow,Tauros,Amoonguss,Dragonite,Pelipper,Baxcalibur,Palafin,Meowscarada
1,Dragapult,Corviknight,Flutter Mane,Ursaluna,Brute Bonnet,Arcanine,Noctowl,Sandy Shocks,Espeon,Indeedee,Iron Hands,Decidueye
1,Roaring Moon,Iron Hands,Heatran,Flutter Mane,Amoonguss,Urshifu,Snorlax,Sinistcha,Landorus,Iron Hands,Clefairy,Kommo
1,Illumise,Flutter Mane,Chi,Tornadus,Iron Bundle,Armarouge,Noctowl,Sandy Shocks,Espeon,Indeedee,Iron Hands,Decidueye
1,Regieleki,Landorus,Roaring Moon,Iron Bundle,Ogerpon,Scizor,Noctowl,Sandy Shocks,Espeon,Indeedee,Iron Hands,Decidueye
2,Torkoal,Lilligant,Ogerpon,Volcarona,Chandelure,Chi,Flutter Mane,Arcanine,Rillaboom,Milotic,Iron Hands,Cresselia
1,Noctowl,Sandy Shocks,Espeon,Indeedee,Iron Hands,Decidueye,Ogerpon,Lycanroc,Sinistcha,Tauros,Farigiraf,Okidogi
1,Mamoswine,Iron Hands,Tornadus,Grimmsnarl,Flutter Mane,Heatran,Conkeldurr,Cresselia,Rillaboom,Landorus,Flutter Mane,Moltres
2,Ogerpon,Urshifu,Chien,Flutter Mane,Tornadus,Amoonguss,Landorus,Grimmsnarl,Ogerpon,Sinistcha,Goodra,Iron Hands
1,Scream Tail,Chien,Arcanine,Rillaboom,Ogerpon,Gholdengo,Tornadus,Landorus,Flutter Mane,Chi,Ogerpon,Iron Hands
1,Empoleon,Ribombee,Qwilfish,Samurott,Thundurus,Grimmsnarl,Morpeko,Roaring Moon,Ogerpon,Cresselia,Flutter Mane,Chien
1,Iron Hands,Sinistcha,Ninetales,Heatran,Ogerpon,Landorus,Milotic,Arcanine,Iron Hands,Chien,Amoonguss,Gholdengo
